Preguntas,Respuestas,,
te vamos a extrañar,Los voy a extrañar mucho.,Yo también los extrañar mucho.,
nos vas a extrañar,,,
extrañar,,,
extrañar mucho,,,
"Hola, como estas?","Hola, ha pasado tiempo sin hablar","Hola, a que debo el honor?",
Hola,,,
Qué tal?,,,
Saludos,,,
Lucía,"Hola Lucia, a que debo el honor?",,
Soy Lucía,,,
"Hola, soy Lucía",,,
yo soy Lucía,,,
David,Hola hijo,"Hola hijo, ha pasado tiempo sin hablar",
Soy David,,,
"Hola, soy David",,,
Adam,,,
Soy Adam,,,
"Hola, soy Adam",,,
"Hola, somos Adam y David",Hola hijos,,
Club CAT,Club de Amigos del Teatro.,,
Saber que es CAT?,,,
Estás en algún club?,,,
CAT,,,
Club,,,
chau,"Adiós, que estés muy bien.",Adiós,Chau
adiós,,,
saludos,,,
nos vemos,,,
Hora,"Curioso, el reloj se detuvo a las cuatro y media.",Reloj dado.,
siesta,,,
sueño,,,
dormir,,,
reloj,,,
Jaja,"Oh, rara vez lo había visto reír así",,
ja,,,
ja ja,,,
jajaj,,,
ja ja ja,,,
estamos bien,Me alegro,,
estoy bien,,,
está bien,,,
está mejor,,,
que color es,Es cafe y gris. Puede ser muy larga,,
que color,,,
sabes que color,,,
Tom eso,"Es una cruz, Tom",,
James,James es una mala influencia en tí.,,
salir,,,
fiesta,,,
festejar,,,
festejo,,,
voy a ir a una fiesta,,,
salir a festejar,,,
voy a salir,,,
vamos a salir a festejar,,,
menuda fiesta,,,
antes salir James,"Antes de salir, James alzo la voz de nuevo'",,
Como me veo,Te ves genial,,
foto de la fiesta,,,
Foto recuerdo fiesta,,,
mirando casa,La sigue mirando fijamente,,
era real,"Pero entonces, que era real?",,
fantasía,,,
imaginario,,,
imaginando,,,
